CompressionDistanceMetric,LeniencyMetric,SolvabilityMetric,AStarDiversityMetric,AStarDifficultyMetric,AStarEditDistanceDiversityMetric
0.4444444444444444,0.6940298507462687,1.0,0.22500000000000003,0.3584905660377358,0.7407407407407407
0.5416666666666666,0.7981651376146789,1.0,0.22619047619047633,0.038834951456310676,0.7037037037037037
0.4583333333333333,1.0,1.0,0.2071428571428573,0.04285714285714286,0.5925925925925926
0.5,0.696969696969697,1.0,0.4142857142857144,0.0761904761904762,0.725
0.4861111111111111,0.7073170731707317,1.0,0.2988095238095238,0.5853658536585366,0.7666666666666667
0.5,0.8421052631578947,1.0,0.22380952380952396,0.45714285714285713,0.5925925925925926
0.4794520547945205,0.9428571428571428,1.0,0.40357142857142864,0.0782608695652174,0.8666666666666668
0.47297297297297297,0.5607476635514018,1.0,0.3309523809523809,0.2840909090909091,0.6078431372549019
0.44594594594594594,0.808,1.0,0.21428571428571447,0.273972602739726,0.5555555555555556
0.4861111111111111,0.8529411764705882,1.0,0.15,0.20720720720720723,0.5555555555555556
0.4861111111111111,0.6788321167883211,1.0,0.23095238095238096,0.14678899082568808,0.7142857142857143
0.4861111111111111,0.8571428571428571,1.0,0.20476190476190492,0.19469026548672566,0.5925925925925926
0.4444444444444444,0.7767857142857143,1.0,0.2690476190476191,0.1326530612244898,0.7037037037037037
0.5068493150684932,0.9530201342281879,1.0,0.32261904761904764,0.0,0.6486486486486487
0.5,0.6206896551724138,1.0,0.19166666666666668,0.7790697674418605,0.6222222222222222
0.4861111111111111,0.6355140186915887,1.0,0.3047619047619047,0.4583333333333333,0.7407407407407407
0.4583333333333333,0.8954248366013072,1.0,0.26547619047619053,0.0,0.7407407407407407
0.4722222222222222,0.9318181818181818,1.0,0.3857142857142858,0.0,0.7222222222222222
0.4520547945205479,0.7459016393442623,1.0,0.20595238095238105,0.4470588235294118,0.5925925925925926
0.47297297297297297,0.8309859154929577,1.0,0.2369047619047619,0.11016949152542373,0.5
0.47297297297297297,0.6859504132231405,1.0,0.31309523809523804,0.32222222222222224,0.7352941176470589
0.47368421052631576,0.5338983050847458,1.0,0.1369047619047619,0.6395348837209303,0.44827586206896547
0.4861111111111111,0.8450704225352113,1.0,0.31547619047619047,0.24137931034482757,0.8
